modis_sst,modis_chlora,salinity,bathymetry_m,latitude,longitude,depth,aragonite,latitude,longitude
,,35.87,4379.0,-30.0,66.0,5.47,5.236663024025115,-30.0,66.0
22.841249465942383,,35.618,4309.0,-12.916,-103.0,5.0,4.646915563424797,-12.916,-103.0
,,34.596,72.0,56.0,-0.5005,4.608,3.7529780228065177,56.0,-0.5005
7.25124979019165,,30.9991,191.0,48.6183,-123.2483,2.0,0.5216206661807979,48.6183,-123.2483
,,35.245,104.0,60.0,0.5,5.0,3.901837230979892,60.0,0.5
,,31.04,520.0,58.001,8.499,5.0,4.16805198011691,58.001,8.499
19.174999237060547,,34.853,4471.0,30.013,137.01,0.0,4.803443436543964,30.013,137.01
27.361665725708008,,35.194,4741.0,14.141,-69.697,3.0,4.7353526108134725,14.141,-69.697
30.636428833007812,,32.851,95.0,27.8697,-93.83,2.0,4.163536984076477,27.8697,-93.83
24.693750381469727,,36.035,5095.0,11.0,-26.0,10.0,4.779144507160813,11.0,-26.0
14.586666107177734,,34.3798,4254.0,-32.5002,-77.5253,6.0,4.054690763187024,-32.5002,-77.5253
6.005000114440918,,31.1335,76.0,57.5,-167.99,3.0,4.886357609618273,57.5,-167.99
,,35.58,4150.0,-32.001,95.0,3.0,4.975252196705179,-32.001,95.0
25.920000076293945,,35.33,4650.0,-26.0,-150.0,2.0,4.576062414221895,-26.0,-150.0
12.489999771118164,,32.803,22.0,44.2,-124.14,4.0,5.307833249101708,44.2,-124.14
,,35.882,3995.0,42.5,-20.0,4.6364,4.918881409789175,42.5,-20.0
,,35.685,3896.0,42.998,-18.001,5.9523,4.789712582879182,42.998,-18.001
,,34.663,71.0,57.0,-1.4995,4.006,3.8165409047499153,57.0,-1.4995
9.8125,,32.448,3092.0,48.976,-130.66,7.0,3.627665749924765,48.976,-130.66
,,34.135,4475.0,-56.669,-76.209,7.0,3.3198844445440514,-56.669,-76.209
4.085000038146973,,33.836,3333.0,-56.0,-150.0,2.0,3.5055644252052764,-56.0,-150.0
,,35.782,5078.0,43.0,-20.0,5.4643,4.56820359973334,43.0,-20.0
,,32.517,5437.0,47.0,-168.21,10.0,3.4588607488732195,47.0,-168.21
20.975000381469727,,35.416,3998.0,-32.5,-129.45,6.0,4.633931491443321,-32.5,-129.45
2.049999952316284,,33.622,3193.0,-57.0,-150.0,4.0,2.999082329632001,-57.0,-150.0
,,32.348,644.0,54.599,-158.5,6.0,3.6612560329196473,54.599,-158.5
8.182499885559082,,32.3585,198.0,59.8968,-178.8083,2.0,5.3236193096820585,59.8968,-178.8083
,,34.52,3762.0,-32.499,-94.662,10.0,4.436037555851914,-32.499,-94.662
